Validator,PT_VERSION,2.9.0
Validator,ROCM_VERSION,7.0.0.0-38-9428210
Validator,HIPBLASLT_VERSION,100000-976b9c4a87
Validator,GCN_ARCH_NAME,gfx950:sramecc+:xnack-
Validator,ROCBLAS_VERSION,5.0.0.976b9c4a87
GemmTunableOp_float_TN,tn_32_10_1024_ld_1024_1024_32,Gemm_Rocblas_-624953743,0.00691487
GemmTunableOp_float_TN,tn_1024_10_2048_ld_2048_2048_1024,Gemm_Rocblas_-624953743,0.00891884
GemmAndBiasTunableOp_float_TN,tn_1024_10_32_ld_32_32_1024,Gemm_Hipblaslt_626488,0.00687844
GemmAndBiasTunableOp_float_TN,tn_1024_10_1024_ld_1024_1024_1024,Gemm_Hipblaslt_626559,0.00841883
GemmAndBiasTunableOp_float_TN,tn_1024_1_32_ld_32_32_1024,Gemm_Hipblaslt_626408,0.00683167
GemmTunableOp_BFloat16_TN,tn_1024_11_4096_ld_4096_4096_1024,Gemm_Hipblaslt_618406,0.00938689
GemmTunableOp_BFloat16_TN,tn_1024_11_2048_ld_2048_2048_1024,Gemm_Hipblaslt_618404,0.00886806
GemmTunableOp_BFloat16_TN,tn_2560_11_1024_ld_1024_1024_2560,Default,0.00769845
GemmTunableOp_BFloat16_TN,tn_2048_788_16384_ld_16384_16384_2048,Gemm_Hipblaslt_618300,0.061735
GemmTunableOp_BFloat16_TN,tn_32768_788_2048_ld_2048_2048_32768,Gemm_Rocblas_618269,0.085082
GemmTunableOp_BFloat16_TN,tn_8192_11_1024_ld_1024_1024_8192,Gemm_Rocblas_618403,0.00806568
GemmTunableOp_BFloat16_TN,tn_2560_788_2048_ld_2048_2048_2560,Gemm_Rocblas_618360,0.0206074
GemmTunableOp_float_NN,nn_11_128_1_ld_0_1_11,Gemm_Hipblaslt_625884,0.00705685
GemmTunableOp_float_NN,nn_788_128_1_ld_0_1_788,Gemm_Hipblaslt_625948,0.00686126
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_768_1152_ld_1152_1152_2048,Gemm_Hipblaslt_618372,0.0129777
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_768_4304_ld_4304_4304_1152,Gemm_Hipblaslt_618303,0.0284643
GemmAndBiasTunableOp_BFloat16_TN,tn_4304_768_1152_ld_1152_1152_4304,Default,0.0203346
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_768_1152_ld_1152_1152_1152,Default,0.0119557
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_768_1152_ld_1152_1152_3456,Gemm_Hipblaslt_618364,0.0165353
